idx,text,label
96,The doctor found that her baby teeth were inflamed. Alice has a toothache.,cause
97,Sam asked his son to bring him materials for bait making. He got some alloys.,None
98,Sam asked his son to bring him materials for bait making. His son brought some fresh vegetables.,effect
99,Tom touched toxic materials by mistake. Deflation occurs.,None
100,Tom touched toxic materials by mistake. Tom needed to do operation.,effect
101,They first need to distribute their tasks. The king's kingdom is a huge collection of individuals.,None
102,They first need to distribute their tasks. They are preparing a presentation.,cause
103,A group of doves and pigeons were thirsty. They drank water similarly in continuous draughts.,effect
104,A group of doves and pigeons were thirsty. They swung their heads through the water to wash faces.,None
105,"Tom could't control his sphincter because of his spine problem. As a result, he was often incontinent.",effect
106,Tom could't control his sphincter because of his spine problem. Scientists and doctors from all countries are working hard to control it.,None
107,It found a hutch. The hobo was extremely hungry.,None
108,It found a hutch. The rabbit wanted a shelter.,cause
109,We are stationed near this swamp. We often meet ducks.,effect
110,We are stationed near this swamp. You should not touch its surface.,None
111,She buys a big bag of milk. Shirley wants a healthy breakfast.,None
112,She buys a big bag of milk. Margaret is going to make cheese.,cause
113,The masseuse punctured Harry's body with fine needles to relieve his pain. He needed a Chinese treatment to relieve pain.,None
114,The masseuse punctured Harry's body with fine needles to relieve his pain. Harry goes to a massage shop to receive Chinese acupuncture.,cause
115,He had to somke. John cannot spell Xanthophylls.,None
116,He had to somke. He left the room suddenly.,cause
117,I buried the seed of dogwoods. They grew up.,effect
118,I buried the seed of dogwoods. Sewage couldn't be carried away.,None
119,The doctor told him it was nephrolithiasis. Tom can't digest well after eating food.,None
120,The doctor told him it was nephrolithiasis. The checkup shows that there is a stone in his kidney.,cause
121,I don't talk about libertarianism. I have no idea about political philosophy.,cause
122,I don't talk about libertarianism. I don't want others know I followed Paganism.,None
123,All the pineapples he planted died. He was afraid of minks.,None
124,All the pineapples he planted died. Jason planted pineapples in the direct-sunlight place.,cause
125,There research is about rays. Their research focuses on homogeneously refractive media with rectilinear waves.,None
126,There research is about rays. Their research focuses on homogeneously refractive media with rectilinear pathway.,cause
127,Tom needs to calculate about the quantity. He took use of stoichimetry.,effect
128,Tom needs to calculate about the quantity. He should concern about the factor of resitivity.,None
129,Tom's cat and mine had cat scratch encephalopathy. They can't live well in a strange environment.,None
130,Tom's cat and mine had cat scratch encephalopathy. The vet pointed out adenitis in both cats.,effect
131,It has been used in a lot of medicines. The kudzu can treat many kinds of diseases.,cause
132,It has been used in a lot of medicines. The factory processed a large  amount of zinc.,None
133,Reproduction causes a large population increase. The city has a high natality.,cause
134,Reproduction causes a large population increase. Shamir is calculating the ratio of changes in the female population.,None
135,He analysed the composition of the soil. He discovered many different elements.,effect
136,He analysed the composition of the soil. He did it.,None
137,I never heard the sounds of cicadas in Antactica. It is evening.,None
138,I never heard the sounds of cicadas in Antactica. I have traveled all the continents on earth.,cause
139,Time flies. Tom becomes more outgoing.,effect
140,Time flies. People should swallow food directly without fusing it with saliva in their mouths.,None
141,Tom needs some spermatids to conduct experiments of artificial insemination. He is dissecting a mouse for its lumina.,effect
142,Tom needs some spermatids to conduct experiments of artificial insemination. He is dissecting a mouse for its stomach.,None
143,The dazzling rays on the gift angered the manager. Tom bought an expensive present for the manager.,None
144,The dazzling rays on the gift angered the manager. Tom wrapped the gift for the manager in gold foil.,cause
145,Tom communicates with others via his heart. He betrayed his partners for his own benefit.,None
146,Tom communicates with others via his heart. Others can feel the sincerity of his emotion.,effect
147,He was helped a lot by the recommendations. The manager wrote his advice in the email.,None
148,He was helped a lot by the recommendations. Tom has bought a guideline from the shop.,cause
149,His mother asked him to calm down so as not to be happy and sorrowful. Tom is mischievous in catching bees in the garden.,None
150,His mother asked him to calm down so as not to be happy and sorrowful. Tom was extremely happy when he won the first prize.,cause
151,Tom wants to cut toenails on his feet with a knife. He has masterly avoid some troubles in the process.,None
152,Tom wants to cut toenails on his feet with a knife. He asks for a  toenail.,effect
153,Ted and Robin are madlly in love. They decide to have a baby.,effect
154,Ted and Robin are madlly in love. They are called lovers.,None
155,He can maintain his posture without falling over. The yoga master has a good balance.,None
156,He can maintain his posture without falling over. John has a great sense of balance.,cause
157,She realized it was just a tree with small leaves. Lucy just got up.,None
158,She realized it was just a tree with small leaves. Lucy saw a poplar.,cause
159,Lucy was allergic to the frangrance that she has just bought. The vet said the oestrogen of the cow is too high.,None
160,Lucy was allergic to the frangrance that she has just bought. Lucy has an allergy to chemicals.,cause
161,His hand was badly swollen from the bee sting. Tom is mischievous in catching bees in the garden.,cause
162,His hand was badly swollen from the bee sting. Typing requires the coordination of hand and brain.,None
163,Mary had a kitten. She adopted a healthy baby.,None
164,Mary had a kitten. She was scratched by the kitten.,effect
165,I like eating meat very much. I feel energetic.,effect
166,I like eating meat very much. I try to keep it from hotness.,None
167,There are many merlins living in this forest. People can usually observe a merlin hunt alone here.,effect
168,There are many merlins living in this forest. They have energy to carry out their own life functions.,None
169,Tom took the exam three times before he got the qualification certificate of optometrist. He succeeded.,None
170,Tom took the exam three times before he got the qualification certificate of optometrist. He can take care of other people's eyes.,effect
171,Aerosols came into the air around the subtropical area. The weather is getting warmer gradually.,None
172,Aerosols came into the air around the subtropical area. Visitors there saw burning clouds.,effect
173,Lucy smokes a lot. She looks much oler than her classmates.,effect
174,Lucy smokes a lot. It's pain for her to spend a lot of money on that little luxury.,None
175,The parakeet is hungry. The owner fed it a lot of vegetables.,effect
176,The parakeet is hungry. The boa wanted to make friends with the bird.,None
177,Jack suffers from optic atrophy. Jack finds that every person in the photo has a different mouth shape.,None
178,Jack suffers from optic atrophy. The doctor said he might lose his sight.,effect
179,This product was repelled byan inducing magnetic field. This product has diamagnetism.,effect
180,This product was repelled byan inducing magnetic field. It function hasn't been influenced.,None
181,He picked a few leaves of mint and put them in. Tom wanted to decrease the permeability of the cultured epithelial monolayers.,None
182,He picked a few leaves of mint and put them in. John needed some mint for this dish he was making.,cause
183,Tom felt lonely. Marry went to accompany Tom.,effect
184,Tom felt lonely. He often feels homeless.,None
185,It was hurt by the latter's teeth. Tomy threw a big bug to the pheasant.,None
186,It was hurt by the latter's teeth. The monster was bit by Tyrannosaurus.,cause
187,Tom has a stuffy nose. He was in constant fear of it when sleeping.,None
188,Tom has a stuffy nose. He has to carry a decongestant with him.,effect
189,He was diagnoised with Gigantism. He studied three naturally magnetic elements.,None
190,He was diagnoised with Gigantism. Tom had excessive secretion of during childhood.,cause
191,He finds a map and puts signs along an isobar. Tom wants to put signs on a mountain at places with the same air pressure.,cause
192,He finds a map and puts signs along an isobar. Tom wants to put signs on a mountain at places with water.,None
193,She saw the man that murdered the couples. She is the witness.,effect
194,She saw the man that murdered the couples. She looked directly at the text.,None
195,Whites are my teachers. I learned from the people who invented free speech.,cause
196,Whites are my teachers. My friends are playing chess.,None
197,Tom has a new idea to earn money. The recycling station paid him a sum of money.,None
198,Tom has a new idea to earn money. He has gained a lot of profits.,effect
199,Her boyfriend immediately called to comfort her. K's father was hospitalized with a toxic buildup in his liver.,None
200,"Her boyfriend immediately called to comfort her. Mary sent a emoticon ""crying"" to her boyfriend on her cell phone.",cause
201,He searched for the yaks. They have made holes in a steep slope that used to be thickly vegetated.,None
202,He searched for the yaks. He found they were in areas.,effect
203,It is time for this little nutria to have a partner. It is already five-moths old.,effect
204,It is time for this little nutria to have a partner. It should wait another fives years before mating.,None
205,Tom does badly in playing chess. He has a low intelligence.,None
206,Tom does badly in playing chess. He cannot solve the problem from start to finish.,effect
207,What came from the eggs are parrots. Tom picked up several eggs.,cause
208,What came from the eggs are parrots. The twins are from the division of one fertilized egg.,None
209,The doctors use a thulium fiber laser to remove the tumor during operation. A man was suffering from stomach trouble.,None
210,The doctors use a thulium fiber laser to remove the tumor during operation. A man got cancer.,cause
211,Tom wants to get married with Lucy. He bought a diamond ring for Lucy.,effect
212,Tom wants to get married with Lucy. Lucy hates her husband.,None
213,She collected some samples of the nonverbal language of the deaf. Lucy is a girl majoring in paralanguage.,cause
214,She collected some samples of the nonverbal language of the deaf. The doctor analyzed many amnesia patients.,None
215,Infiltration between cells reaches equilibrium. Cells exist in a stable state.,effect
216,Infiltration between cells reaches equilibrium. Yield advantage was shown.,None
217,The model needs natural light for shooting. She turns the lamps on during each shooting.,effect
218,The model needs natural light for shooting. There are waves in the sea and ripples at the shore.,None
219,Tom's mother always feels dizzy recently. The doctor diagnosed her with high blood pressure.,effect
220,Tom's mother always feels dizzy recently. Doctor gave him ibuprofen as medicine.,None
221,They brainstormed. They proposed themselves easily.,None
222,They brainstormed. They came to a great idea.,effect
223,"In winter here, people wear clothes with very good thermal insulation when they go out. There are a lot of cockroaches around the house.",None
224,"In winter here, people wear clothes with very good thermal insulation when they go out. It is quite cold here in winter, and the temperature can reach as low as minus 30 degrees.",cause
225,Sam is used to bite his fingers since he was a kid. Tom has arthrits.,None
226,Sam is used to bite his fingers since he was a kid. Sam's mother often bit her fingers.,cause
227,It includes integers starting from zero. The paper lists MIDI numbers.,cause
228,It includes integers starting from zero. The paper lists many percents.,None
229,Inequality dissappointed the college student. They found the most serious one was racism.,None
230,Inequality dissappointed the college student. He dropped out from the university.,effect
231,The atmosphere in her class was negatively affected. Miss Li's managemant of her class was too strict.,cause
232,The atmosphere in her class was negatively affected. Amy didn't deal with the tantrum of her son very well.,None
233,He found they all died of Malnourishment. The researcher investigated the premature death in these pet birds.,cause
234,He found they all died of Malnourishment. The hunter raised some ermines.,None
235,Jack looks for rhizoids. Jack finds that rhizoids grow in  marginal groups.,effect
236,Jack looks for rhizoids. He saw a lot of aphids.,None
237,His wrong conclusion is laughed at. This U.S. lawmaker uses a wrong logic in this speech.,cause
238,His wrong conclusion is laughed at. He is used to observing other people's words and deeds.,None
239,This boy was added to our family via the  the permanent legal process. Adoption gives him new life.,effect
240,This boy was added to our family via the  the permanent legal process. More people in us were attracted by it.,None
241,The results showed high levels of glutamates. Tom has met two plesiosaurs.,None
242,The results showed high levels of glutamates. Scientists conducted a series of experiments on truffles.,cause
243,These people were guided by the fireflies without any light. We wanted to imitate the cloud' reflection of sunlight.,None
244,These people were guided by the fireflies without any light. Tom and his companions have met some fireflies in the dark night.,cause
245,Basketball players wear the knee pads on. Basketball players want to look cool.,None
246,Basketball players wear the knee pads on. Basketball players don't want to get hurt in the game.,cause
247,The boss found Tom's difficulty with division. Boss arranges him into the human resource department.,None
248,The boss found Tom's difficulty with division. Tom was fired for a lack of fundamental operation of arithmetic.,effect
249,The newspapers gave headlines on it. Tom is going to date with his beloved girl.,None
250,The newspapers gave headlines on it. This thing has great impact on our daily life.,cause
251,The dracaena turns yellow and then withers. Alice waters the dracaena with distilled water.,None
252,The dracaena turns yellow and then withers. Alice waters the dracaena with tap water containing fluoride.,cause
253,He had a lot of perspiration. Tom always felt hot in winter.,cause
254,He had a lot of perspiration. Tom felt hot because of the sunshine.,None
255,Its stripes made my eyes see everything blurred. I stared at my budgie for hours.,cause
256,Its stripes made my eyes see everything blurred. My shirt was stained by oily dirt.,None
257,Scientist study margins. The patient showed diminished activity of levodopa.,None
258,Scientist study margins. Scientists have discovered a large amount of sediments on the earth.,effect
259,He noticed an announcement on it. Jack looks at the hologram in different lights.,None
260,He noticed an announcement on it. Mike bought a journal.,cause
261,It's normal that sepals fall. Seals can resist coldness.,None
262,It's normal that sepals fall. The flower is new-born.,cause
263,Amy had Hollyhocks in her garden. She can see they bloom in seasons.,effect
264,Amy had Hollyhocks in her garden. They cut their roots for food.,None
265,He stuck to seeking the truth. The knight was brave.,None
266,He stuck to seeking the truth. The policeman aimed to realize his dream.,cause
267,They clearly know health care needs of the elderly. Jack's group often publicizes how to love others.,None
268,They clearly know health care needs of the elderly. They are gerontologists.,cause
269,Tom considers malacology as disgusting. He dislikes the study of mollusks.,effect
270,Tom considers malacology as disgusting. His mother explained to him patiently using the picture book at home.,None
271,Dodos get plenty of food. Summer is coming.,None
272,Dodos get plenty of food. Fruits are ripe in autumn.,cause
273,Mary wanted to study metabolic phenomena. She first chose to observe liver cells.,effect
274,Mary wanted to study metabolic phenomena. The doctor used colchicine in the treatment.,None
275,Strip cucumber beetles would damage the crop field. The farmer has used some pesticide to drive away them to avoid damaging the field.,None
276,Strip cucumber beetles would damage the crop field. The farmer drove them away.,effect
277,Jack's tissue is damaged. It is concluded that the reason is that Tom always stays up all night.,None
278,Jack's tissue is damaged. It is concluded that the reason is abundance after the doctor's diagnosis.,effect
279,Tomb-Sweeping Day occurs on lunar March 23rd. He is influenecd by the Nihilism.,None
280,Tomb-Sweeping Day occurs on lunar March 23rd. People always mourn their dead relatives in lunar March.,cause
281,They went to find water in the well. Villagers are thirsty.,cause
282,They went to find water in the well. The people in the Gulf of Mexico are short of water.,None
283,The teacher told her it was a soybean. I asked the teacher which kind of sugar will glycolysis.,None
284,The teacher told her it was a soybean. Mary found a plant that was dark green with a slightly lighter silvery green layer underneath the leaves.,cause
285,Tom likes eating turkey. He is super healthy.,None
286,Tom likes eating turkey. He is diagnosed with exceeding levels of amino acid tryptophan.,effect
287,He has difficulities in clotting. Plastics in his blood are at a low level.,None
288,He has difficulities in clotting. Platelets in his blood are at a low level.,cause
289,Tom has a garden. He considered to grow mushrooms and a few other food crops.,None
290,Tom has a garden. Tom grows carrots in his garden.,effect
291,He must be nursed and watched every second of the day by his parents. He is still an infancy.,cause
292,He must be nursed and watched every second of the day by his parents. John unfortunately got cancer.,None
293,He asked for help from a cardiologist. He wanted to relieve his pain by acupuncture.,None
294,He asked for help from a cardiologist. John had cardiovascular disease.,cause
295,Meat was deleted in my menu. I got tired of dealing with the practical affairs of men.,None
296,Meat was deleted in my menu. I should have the lightest diet.,cause
297,A few days later they thrived. He put the small crayfish in the fish tank.,None
298,A few days later they thrived. I saw several Cassias seedlings here.,cause
299,Food was provided for them. The octopi was hungry.,None
300,Food was provided for them. The Bushbucks were locked in a cage.,cause
301,Tom is very mindful of his friends' sentiments. He recognized the emotional fluctuations in his friend.,effect
302,Tom is very mindful of his friends' sentiments. Tom writes down the things he wants to express.,None
303,He planted some elms. Old Edward doesn't want his skin to become sensitive.,None
304,He planted some elms. Tom needs some flowers.,cause
305,The physicist got the luminosity of this star. Physicists calculate the ratio of the energy escaping from the surface of the star to time.,cause
306,The physicist got the luminosity of this star. The physicist calculates the ratio of the mass and volume of the star.,None
307,Mary is pregnant so she stop taking Tums anymore. It has been a few weeks since Mary was pregnant.,None
308,Mary is pregnant so she stop taking Tums anymore. Talc has an impact on the health of pregnant women.,cause
309,"The hardness of quartz is 7 on the Mohs hardness scale, glass is 6-6.5. The octopod sucked on the glass with its eight tentacles of equal length.",None
310,"The hardness of quartz is 7 on the Mohs hardness scale, glass is 6-6.5. A piece of quartz crystal will scratch a piece of glass.",effect
311,Too much anaerobic respiration of muscles in her legs was caused. Lucy's legs got cramps.,cause
312,Too much anaerobic respiration of muscles in her legs was caused. I am a student majored in cladistics.,None
313,The sampling size of the aquifers is up to themselves. Scientists didn't find anything unusual.,None
314,The sampling size of the aquifers is up to themselves. Samples of different sizes were collected from those aquifers.,effect
315,Winnie had no wrinkles on her face when she was young. Festering skin can appear after tissue breaks down.,None
316,"Winnie had no wrinkles on her face when she was young. Winnie, 40, found wrinkles on her face.",cause
317,He still took in some carbohydrates. Tom ate a lotvitamin b a day.,None
318,He still took in some carbohydrates. Tom ate many turnips a day.,cause
319,Fluids dissipated in both types of flow. Fluids lost energy.,effect
320,Fluids dissipated in both types of flow. Some oil floats on the surface.,None
321,They found Pseudoephedrine in it. The scientist collected some breast milk.,cause
322,They found Pseudoephedrine in it. The scientists tested a bowl of water.,None
323,The date showed that they increased via rhizomes just beneath the surface of the soil. The roses in the garden were in full bloom.,None
324,The date showed that they increased via rhizomes just beneath the surface of the soil. He looked it up to see how clumps increased.,cause
325,Tom moved the neighbor's flower buds to his garden. Stomata helps them absorbs moisture from the air.,None
326,Tom moved the neighbor's flower buds to his garden. It didn't take long for this flower bud to grow into a beautiful and complete flower.,effect
327,The workers are faced with difficulties. They grow on ground to approach those roots.,None
328,The workers are faced with difficulties. They asked the boss to figure out the technical problems.,effect
329,Eaters are hungry. They open their mouths to enjoy their food.,effect
330,Eaters are hungry. They collect food.,None
331,Tom is a racist. Tom thinks everyone is equal.,None
332,Tom is a racist. Tom belongs to 3K party.,effect
333,The professor read Tom's thesis overview. The professor knew how many chapters it was divided into.,effect
334,The professor read Tom's thesis overview. He described his experience.,None
335,The discriminated group suffer from unfair treatment. Gays have experience related to unfairness.,effect
336,The discriminated group suffer from unfair treatment. The doctor found the herpes enters her body through tiny passages in the skin.,None
337,The doctor gave him something with ipecac. He needed a Chinese treatment to relieve pain.,None
338,The doctor gave him something with ipecac. Tom was taken to the hospital with food poisoning.,cause
339,Leah takes pictures in the daytime. Leah thinks it's ideal to take pictures in the sunlight.,cause
340,Leah takes pictures in the daytime. Leah likes to take pictures.,None
341,Mike lives in a basin. He is afflicted with obesity.,None
342,Mike lives in a basin. He is used to the seasonal variability.,effect
343,His hair grows slowly. Tom grew tress in his yard.,None
344,His hair grows slowly. Jack has sebum accumulation.,cause
345,It must be thirsty and wants to get some water. There was a chicken in the shrubs.,None
346,It must be thirsty and wants to get some water. That kiang went to the riverside.,cause
347,He monitored the entire area in real time. He found that no crash occured.,None
348,He monitored the entire area in real time. He found that crashes occured in areas.,effect
349,The balloon floated up in to the air. Sam punctured the balloon.,None
350,The balloon floated up in to the air. Sam did not grasp the balloon.,cause
351,She has strong disires to live in a group. Mary and her mother are in different lobbies.,None
352,She has strong disires to live in a group. She has high sociability.,cause
353,Tom believes in egalitarianism. Tom has a sense of ethics.,None
354,Tom believes in egalitarianism. He is not an irreligious man.,effect
355,He got a pile of monomer models. My dad had an interest in cameras.,None
356,He got a pile of monomer models. Tom took apart the intact molecular model.,cause
357,The thieves saw Tom left. The thieves sneak into Tom's home.,effect
358,The thieves saw Tom left. They handed in the stolen things.,None
359,Julia's love is destroyed by this hatred. The Julia family has long resented the Romeo family.,cause
360,Julia's love is destroyed by this hatred. The old couple are abondoned by their only son.,None
361,The committees recruit talents to maintain utilities. Utilities are closely related to residents' daily lives.,cause
362,The committees recruit talents to maintain utilities. The country want to move large amounts of water great distances.,None
363,He shifted the camera a little. I asked him to adjust the viewpoint.,cause
364,He shifted the camera a little. John withdrew the curtain when we watched the holograms.,None
365,The soldiers quickly took out the first aid kit. The country lacks soldiers.,None
366,The soldiers quickly took out the first aid kit. This car was bombed.,cause
367,The vet examined many kinds of vertebrates. He found that almost all of them were kinds of brachiopods.,None
368,The vet examined many kinds of vertebrates. He found varied kinds of parasites in their body.,effect
369,The lecturer mentioned general cancer preventatives. The listeners thought of selenium.,effect
370,The lecturer mentioned general cancer preventatives. I trust his discrimination.,None
371,The doctor examined the wound. He found there were also some sills.,None
372,The doctor examined the wound. He found that it involved bacterial infection.,effect
373,Lucy has to do an operation for the patient. His body failed to bring newly oxygenated blood to the tissues.,None
374,Lucy has to do an operation for the patient. She firstly injects meperidine into the patient.,effect
375,She can often observe them from the direction of hercules. Mary likes motmots very much.,None
376,She can often observe them from the direction of hercules. Susan observed comets with a telescope.,cause
377,Tom intended to distinguish pumpkinseeds from other sunfish through their feeding habits. Tom is wrong.,None
378,Tom intended to distinguish pumpkinseeds from other sunfish through their feeding habits. He failed.,effect
379,Tom is an expert in genomics. He has discovered several new genes.,effect
380,Tom is an expert in genomics. He mainly studies about fossil remains of animals.,None
381,Tom's tooth was hit head-on while playing basketball. Tom's tooth was avulsed.,effect
382,Tom's tooth was hit head-on while playing basketball. Tom got stinged.,None
383,The orbit of Earth has changed. Time goes on.,cause
384,The orbit of Earth has changed. The earth is bearing more and more humans.,None
385,The baby can not survive without a pacemaker. The infant has congenital heart disease.,cause
386,The baby can not survive without a pacemaker. The circuit is closed.,None
387,Kiki dissected the head of a wolf. Kiki found an additional joint in its jaw.,effect
388,Kiki dissected the head of a wolf. Kiki found an additional joint in its tail.,None
389,He hates Jerry's libertarianism. Jack is a cowboy.,None
390,He hates Jerry's libertarianism. Jerry hates any kind of political philosophy.,cause
391,He found this slender-bodied dragonfly had relatively weak powers of flight. He saw a creature with big mouth and small head.,None
392,He found this slender-bodied dragonfly had relatively weak powers of flight. Tom saw a damselfly flying.,cause
393,He can not pronounce words clearly now. Mario's lungs were severely infected by influenza.,cause
394,He can not pronounce words clearly now. The soldier is afraid of explosions.,None
395,Tom belongs to the garrison of national boundaries. He sees the sufaces areas of frontiers every day.,effect
396,Tom belongs to the garrison of national boundaries. He knows exactly what to do at any time.,None
397,They waited for the safety of darkness. They can't see the way clearly.,None
398,They waited for the safety of darkness. The group of songbirds planned to migrate.,cause
399,The rare stone was eroded particle by particle. It was destroyed by abrasion.,effect
400,The rare stone was eroded particle by particle. It became an Barrow.,None
401,She is consider to be a successful player. She has played with great consistency all season.,cause
402,She is consider to be a successful player. She is a young and confident girl.,None
403,"That scarf is gray. Tom put sweat, tears and saliva on the silk.",None
404,That scarf is gray. The cruel hunter plucked all feathers of   the flamingo to make a scarf.,cause
405,The purpose of the parade is to make a voice heard by more people. The parade makes a speech in the center of the city.,None
406,The purpose of the parade is to make a voice heard by more people. The parade goes through the streets.,effect
407,She went to the zoo. I saw champanzees in the zoo yesterday.,None
408,She went to the zoo. Jessy craves for seeing giraffes.,cause
409,These eggs become small shrimps. Eggs are very cheap.,None
410,These eggs become small shrimps. John saw that the shrimp laid a lot of eggs.,cause
411,This land was invaded. Weeds swallowed this land.,cause
412,This land was invaded. The criminal gang started wide raids in this region.,None
